Id,ActivityHour,StepTotal,WeekDay
1503960366,2016-04-12 00:00:00,373,Tuesday
1503960366,2016-04-12 01:00:00,160,Tuesday
1503960366,2016-04-12 02:00:00,151,Tuesday
1503960366,2016-04-12 03:00:00,0,Tuesday
1503960366,2016-04-12 04:00:00,0,Tuesday
1503960366,2016-04-12 05:00:00,0,Tuesday
1503960366,2016-04-12 06:00:00,0,Tuesday
1503960366,2016-04-12 07:00:00,0,Tuesday
1503960366,2016-04-12 08:00:00,250,Tuesday
1503960366,2016-04-12 09:00:00,1864,Tuesday
1503960366,2016-04-12 10:00:00,676,Tuesday
1503960366,2016-04-12 11:00:00,360,Tuesday
1503960366,2016-04-12 12:00:00,253,Tuesday
1503960366,2016-04-12 13:00:00,221,Tuesday
1503960366,2016-04-12 14:00:00,1166,Tuesday
1503960366,2016-04-12 15:00:00,2063,Tuesday
1503960366,2016-04-12 16:00:00,344,Tuesday
1503960366,2016-04-12 17:00:00,489,Tuesday
1503960366,2016-04-12 18:00:00,1386,Tuesday
1503960366,2016-04-12 19:00:00,558,Tuesday
1503960366,2016-04-12 20:00:00,1733,Tuesday
1503960366,2016-04-12 21:00:00,684,Tuesday
1503960366,2016-04-12 22:00:00,89,Tuesday
1503960366,2016-04-12 23:00:00,338,Tuesday
1503960366,2016-04-13 00:00:00,144,Wednesday
1503960366,2016-04-13 01:00:00,0,Wednesday
1503960366,2016-04-13 02:00:00,0,Wednesday
1503960366,2016-04-13 03:00:00,36,Wednesday
1503960366,2016-04-13 04:00:00,0,Wednesday
1503960366,2016-04-13 05:00:00,0,Wednesday
1503960366,2016-04-13 06:00:00,0,Wednesday
1503960366,2016-04-13 07:00:00,126,Wednesday
1503960366,2016-04-13 08:00:00,275,Wednesday
1503960366,2016-04-13 09:00:00,1679,Wednesday
1503960366,2016-04-13 10:00:00,295,Wednesday
1503960366,2016-04-13 11:00:00,524,Wednesday
1503960366,2016-04-13 12:00:00,486,Wednesday
1503960366,2016-04-13 13:00:00,302,Wednesday
1503960366,2016-04-13 14:00:00,1577,Wednesday
1503960366,2016-04-13 15:00:00,493,Wednesday
1503960366,2016-04-13 16:00:00,299,Wednesday
1503960366,2016-04-13 17:00:00,695,Wednesday
1503960366,2016-04-13 18:00:00,1343,Wednesday
1503960366,2016-04-13 19:00:00,258,Wednesday
1503960366,2016-04-13 20:00:00,0,Wednesday
1503960366,2016-04-13 21:00:00,0,Wednesday
1503960366,2016-04-13 22:00:00,437,Wednesday
1503960366,2016-04-13 23:00:00,1766,Wednesday
1503960366,2016-04-14 00:00:00,81,Thursday
1503960366,2016-04-14 01:00:00,58,Thursday
1503960366,2016-04-14 02:00:00,0,Thursday
1503960366,2016-04-14 03:00:00,0,Thursday
1503960366,2016-04-14 04:00:00,0,Thursday
1503960366,2016-04-14 05:00:00,0,Thursday
1503960366,2016-04-14 06:00:00,0,Thursday
1503960366,2016-04-14 07:00:00,0,Thursday
1503960366,2016-04-14 08:00:00,0,Thursday
1503960366,2016-04-14 09:00:00,902,Thursday
1503960366,2016-04-14 10:00:00,1106,Thursday
1503960366,2016-04-14 11:00:00,50,Thursday
1503960366,2016-04-14 12:00:00,501,Thursday
1503960366,2016-04-14 13:00:00,1779,Thursday
1503960366,2016-04-14 14:00:00,1228,Thursday
1503960366,2016-04-14 15:00:00,139,Thursday
1503960366,2016-04-14 16:00:00,408,Thursday
1503960366,2016-04-14 17:00:00,37,Thursday
1503960366,2016-04-14 18:00:00,322,Thursday
1503960366,2016-04-14 19:00:00,11,Thursday
1503960366,2016-04-14 20:00:00,806,Thursday
1503960366,2016-04-14 21:00:00,2670,Thursday
1503960366,2016-04-14 22:00:00,362,Thursday
1503960366,2016-04-14 23:00:00,0,Thursday
1503960366,2016-04-15 00:00:00,83,Friday
1503960366,2016-04-15 01:00:00,75,Friday
1503960366,2016-04-15 02:00:00,124,Friday
1503960366,2016-04-15 03:00:00,0,Friday
1503960366,2016-04-15 04:00:00,0,Friday
1503960366,2016-04-15 05:00:00,26,Friday
1503960366,2016-04-15 06:00:00,0,Friday
1503960366,2016-04-15 07:00:00,7,Friday
1503960366,2016-04-15 08:00:00,55,Friday
1503960366,2016-04-15 09:00:00,21,Friday
1503960366,2016-04-15 10:00:00,154,Friday
1503960366,2016-04-15 11:00:00,425,Friday
1503960366,2016-04-15 12:00:00,270,Friday
1503960366,2016-04-15 13:00:00,373,Friday
1503960366,2016-04-15 14:00:00,0,Friday
1503960366,2016-04-15 15:00:00,0,Friday
1503960366,2016-04-15 16:00:00,0,Friday
1503960366,2016-04-15 17:00:00,1774,Friday
1503960366,2016-04-15 18:00:00,509,Friday
1503960366,2016-04-15 19:00:00,519,Friday
1503960366,2016-04-15 20:00:00,77,Friday
1503960366,2016-04-15 21:00:00,280,Friday
1503960366,2016-04-15 22:00:00,2145,Friday
1503960366,2016-04-15 23:00:00,2768,Friday
1503960366,2016-04-16 00:00:00,459,Saturday
1503960366,2016-04-16 01:00:00,0,Saturday
1503960366,2016-04-16 02:00:00,63,Saturday
1503960366,2016-04-16 03:00:00,6,Saturday
1503960366,2016-04-16 04:00:00,6,Saturday
1503960366,2016-04-16 05:00:00,12,Saturday
1503960366,2016-04-16 06:00:00,0,Saturday
1503960366,2016-04-16 07:00:00,101,Saturday
1503960366,2016-04-16 08:00:00,175,Saturday
1503960366,2016-04-16 09:00:00,1181,Saturday
1503960366,2016-04-16 10:00:00,1295,Saturday
1503960366,2016-04-16 11:00:00,2043,Saturday
1503960366,2016-04-16 12:00:00,1513,Saturday
1503960366,2016-04-16 13:00:00,3616,Saturday
1503960366,2016-04-16 14:00:00,580,Saturday
1503960366,2016-04-16 15:00:00,0,Saturday
1503960366,2016-04-16 16:00:00,15,Saturday
1503960366,2016-04-16 17:00:00,380,Saturday
1503960366,2016-04-16 18:00:00,96,Saturday
1503960366,2016-04-16 19:00:00,146,Saturday
1503960366,2016-04-16 20:00:00,385,Saturday
1503960366,2016-04-16 21:00:00,463,Saturday
1503960366,2016-04-16 22:00:00,42,Saturday
1503960366,2016-04-16 23:00:00,92,Saturday
1503960366,2016-04-17 00:00:00,0,Sunday
1503960366,2016-04-17 01:00:00,0,Sunday
1503960366,2016-04-17 02:00:00,0,Sunday
1503960366,2016-04-17 03:00:00,8,Sunday
1503960366,2016-04-17 04:00:00,0,Sunday
1503960366,2016-04-17 05:00:00,0,Sunday
1503960366,2016-04-17 06:00:00,0,Sunday
1503960366,2016-04-17 07:00:00,0,Sunday
1503960366,2016-04-17 08:00:00,0,Sunday
1503960366,2016-04-17 09:00:00,0,Sunday
1503960366,2016-04-17 10:00:00,0,Sunday
1503960366,2016-04-17 11:00:00,84,Sunday
1503960366,2016-04-17 12:00:00,260,Sunday
1503960366,2016-04-17 13:00:00,402,Sunday
1503960366,2016-04-17 14:00:00,252,Sunday
1503960366,2016-04-17 15:00:00,191,Sunday
1503960366,2016-04-17 16:00:00,13,Sunday
1503960366,2016-04-17 17:00:00,2613,Sunday
1503960366,2016-04-17 18:00:00,1616,Sunday
1503960366,2016-04-17 19:00:00,754,Sunday
1503960366,2016-04-17 20:00:00,2955,Sunday
1503960366,2016-04-17 21:00:00,487,Sunday
1503960366,2016-04-17 22:00:00,70,Sunday
1503960366,2016-04-17 23:00:00,0,Sunday
1503960366,2016-04-18 00:00:00,416,Monday
1503960366,2016-04-18 01:00:00,0,Monday
1503960366,2016-04-18 02:00:00,0,Monday
1503960366,2016-04-18 03:00:00,0,Monday
1503960366,2016-04-18 04:00:00,0,Monday
1503960366,2016-04-18 05:00:00,0,Monday
1503960366,2016-04-18 06:00:00,0,Monday
1503960366,2016-04-18 07:00:00,0,Monday
1503960366,2016-04-18 08:00:00,0,Monday
1503960366,2016-04-18 09:00:00,1688,Monday
1503960366,2016-04-18 10:00:00,380,Monday
1503960366,2016-04-18 11:00:00,328,Monday
1503960366,2016-04-18 12:00:00,1306,Monday
1503960366,2016-04-18 13:00:00,268,Monday
1503960366,2016-04-18 14:00:00,137,Monday
1503960366,2016-04-18 15:00:00,495,Monday
1503960366,2016-04-18 16:00:00,277,Monday
1503960366,2016-04-18 17:00:00,304,Monday
1503960366,2016-04-18 18:00:00,4074,Monday
1503960366,2016-04-18 19:00:00,2101,Monday
1503960366,2016-04-18 20:00:00,28,Monday
1503960366,2016-04-18 21:00:00,187,Monday
1503960366,2016-04-18 22:00:00,542,Monday
1503960366,2016-04-18 23:00:00,488,Monday
1503960366,2016-04-19 00:00:00,0,Tuesday
1503960366,2016-04-19 01:00:00,22,Tuesday
1503960366,2016-04-19 02:00:00,0,Tuesday
1503960366,2016-04-19 03:00:00,9,Tuesday
1503960366,2016-04-19 04:00:00,0,Tuesday
1503960366,2016-04-19 05:00:00,0,Tuesday
1503960366,2016-04-19 06:00:00,7,Tuesday
1503960366,2016-04-19 07:00:00,316,Tuesday
1503960366,2016-04-19 08:00:00,1656,Tuesday
1503960366,2016-04-19 09:00:00,367,Tuesday
1503960366,2016-04-19 10:00:00,203,Tuesday
1503960366,2016-04-19 11:00:00,194,Tuesday
1503960366,2016-04-19 12:00:00,1887,Tuesday
1503960366,2016-04-19 13:00:00,2697,Tuesday
1503960366,2016-04-19 14:00:00,409,Tuesday
1503960366,2016-04-19 15:00:00,299,Tuesday
1503960366,2016-04-19 16:00:00,297,Tuesday
1503960366,2016-04-19 17:00:00,732,Tuesday
1503960366,2016-04-19 18:00:00,1280,Tuesday
1503960366,2016-04-19 19:00:00,397,Tuesday
1503960366,2016-04-19 20:00:00,2487,Tuesday
1503960366,2016-04-19 21:00:00,826,Tuesday
1503960366,2016-04-19 22:00:00,52,Tuesday
1503960366,2016-04-19 23:00:00,1369,Tuesday
1503960366,2016-04-20 00:00:00,16,Wednesday
1503960366,2016-04-20 01:00:00,36,Wednesday
1503960366,2016-04-20 02:00:00,0,Wednesday
1503960366,2016-04-20 03:00:00,0,Wednesday
1503960366,2016-04-20 04:00:00,0,Wednesday
1503960366,2016-04-20 05:00:00,0,Wednesday
1503960366,2016-04-20 06:00:00,0,Wednesday
1503960366,2016-04-20 07:00:00,29,Wednesday
1503960366,2016-04-20 08:00:00,264,Wednesday
1503960366,2016-04-20 09:00:00,1993,Wednesday
1503960366,2016-04-20 10:00:00,459,Wednesday
1503960366,2016-04-20 11:00:00,65,Wednesday
1503960366,2016-04-20 12:00:00,185,Wednesday
1503960366,2016-04-20 13:00:00,64,Wednesday
1503960366,2016-04-20 14:00:00,1270,Wednesday
1503960366,2016-04-20 15:00:00,797,Wednesday
1503960366,2016-04-20 16:00:00,261,Wednesday
1503960366,2016-04-20 17:00:00,13,Wednesday
1503960366,2016-04-20 18:00:00,1308,Wednesday
1503960366,2016-04-20 19:00:00,1558,Wednesday
1503960366,2016-04-20 20:00:00,499,Wednesday
1503960366,2016-04-20 21:00:00,395,Wednesday
1503960366,2016-04-20 22:00:00,77,Wednesday
1503960366,2016-04-20 23:00:00,1255,Wednesday
1503960366,2016-04-21 00:00:00,17,Thursday
1503960366,2016-04-21 01:00:00,129,Thursday
1503960366,2016-04-21 02:00:00,81,Thursday
